TITLE,ASSIGNMENT,RACE/ETHNICITY,GENDER,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY
CAPTAIN,ADULT/JUVENILE BOOKING,WHITE,MALE,45,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,46,28,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,33,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,46,21,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,OTHER HISPANIC,MALE,38,5,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,WHITE,MALE,31,8,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,FEMALE,42,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,FEMALE,,,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,FEMALE,51,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,39,15,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,42,17,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,49,29,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,46,22,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,FEMALE,44,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,FEMALE,41,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,43,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,46,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,43,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,42,24,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,ADULT/JUVENILE BOOKING,WHITE,MALE,44,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,MALE,64,32,3 YEARS COLLEGE,NO,BPD
POLICE LIEUTENANT,ANALYTICAL INTELLIGENCE SEC,WHITE,MALE,42,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
